State,Well Name,Depth (m),Porosity (%),Permeability_h (md),Permeability_v (md),Lithology (major),Well Classification,Longitude,Latitude,Onshore/Offshore,Decision
New South Wales,BMR Wollongong 1,18.7,4.7,0.1,0.1,shale,Stratigraphic ,150.6000,34.9667,Onshore,Non-Acceptable
New South Wales,BMR Wollongong 1,23.1,7.4,0.1,0.1,sandstone,Stratigraphic ,150.6000,34.9667,Onshore,Non-Acceptable
New South Wales,BMR Wollongong 1,27.0,9.9,0.2,0.2,sandstone,Stratigraphic ,150.6000,34.9667,Onshore,Non-Acceptable
New South Wales,BMR Wollongong 1,45.8,4.0,0.1,0.1,siltstone,Stratigraphic ,150.6000,34.9667,Onshore,Non-Acceptable
New South Wales,BMR Wollongong 1,70.8,3.1,0.1,0.1,siltstone,Stratigraphic ,150.6000,34.9667,Onshore,Non-Acceptable
New South Wales,BMR Wollongong 1,87.1,2.5,0.1,0.1,sandstone,Stratigraphic ,150.6000,34.9667,Onshore,Non-Acceptable
New South Wales,BMR Wollongong 1,133.2,3.2,0.1,0.1,siltstone,Stratigraphic ,150.6000,34.9667,Onshore,Non-Acceptable
New South Wales,BMR Wollongong 1,213.0,4.8,0.1,0.1,sandstone,Stratigraphic ,150.6000,34.9667,Onshore,Non-Acceptable
New South Wales,BMR Wollongong 1,239.2,9.3,0.1,0.1,sandstone,Stratigraphic ,150.6000,34.9667,Onshore,Non-Acceptable
New South Wales,BMR Wollongong 1,240.6,11.0,0.2,0.3,sandstone,Stratigraphic ,150.6000,34.9667,Onshore,Non-Acceptable
New South Wales,BMR Wollongong 1,276.3,3.5,0.1,0.1,sandstone,Stratigraphic ,150.6000,34.9667,Onshore,Non-Acceptable
New South Wales,BMR Wollongong 1,288.9,9.4,0.1,0.1,sandstone,Stratigraphic ,150.6000,34.9667,Onshore,Non-Acceptable
New South Wales,BMR Wollongong 1,305.2,5.9,0.1,0.1,sandstone,Stratigraphic ,150.6000,34.9667,Onshore,Non-Acceptable
New South Wales,Bancannia North 1,421.2,11.0,0.0,0.0,sandstone,Exploration,141.8361,30.6569,Onshore,Non-Acceptable
New South Wales,Bancannia North 1,484.0,11.0,1.0,1.0,sandstone,Exploration,141.8361,30.6569,Onshore,Non-Acceptable
New South Wales,Bancannia North 1,573.5,12.0,0.9,0.0,sandstone,Exploration,141.8361,30.6569,Onshore,Non-Acceptable
